root,key,parent,summary,status,itype,assignee,perf_relevance
PSASTRAT-109,PSASTRAT-109,,2026 - Red Hat Satellite,Planning,Outcome,Eric Helms,medium
SAT-35690,SAT-35690,PSASTRAT-109,Support Post-Quantum Cryptography (PQC),To Do,Outcome,Eric Helms,high
CANDLEPIN-1021,CANDLEPIN-1021,PSASTRAT-109,Support Post-Quantum Cryptography certificates,Closed,Epic,,high
CANDLEPIN-1021,CANDLEPIN-1022,CANDLEPIN-1021,Test Candlepin/subscription-manager for PQC,Closed,Spike,,high
CANDLEPIN-1021,CANDLEPIN-1068,CANDLEPIN-1021,Create/Refactor org.candlepin.pki.Signer for PQC support,Closed,Story,Josh Albrecht,high
CANDLEPIN-1021,CANDLEPIN-1069,CANDLEPIN-1021,Create/Refactor org.candlepin.pki.SignatureValidator for PQC support,Closed,Story,Chris Rog,high
CANDLEPIN-1021,CANDLEPIN-1071,CANDLEPIN-1021,Create/Refactor org.candlepin.pki.X509CertificateBuilder for PQC support,Closed,Story,Josh Albrecht,high
CANDLEPIN-1021,CANDLEPIN-1072,CANDLEPIN-1021,Create/Refactor org.candlepin.pki.CertificateAuthority for PQC support,Closed,Story,Chris Rog,high
CANDLEPIN-1021,CANDLEPIN-1073,CANDLEPIN-1021,Update KeyPairData to include algorithm information,Closed,Story,Stepan Bakaj,high
CANDLEPIN-1021,CANDLEPIN-1074,CANDLEPIN-1021,Update Candlepin configuration to support PQC/multi-CA chains,Closed,Story,Chris Rog,high
CANDLEPIN-1021,CANDLEPIN-1076,CANDLEPIN-1021,PQC: Update ueber certificate generation and fetching logic to be scheme-aware,Closed,Story,Chris Rog,high
CANDLEPIN-1021,CANDLEPIN-1077,CANDLEPIN-1021,PQC: Update status endpoint to list server-supported signature schemes,Closed,Story,Stepan Bakaj,high
CANDLEPIN-1021,CANDLEPIN-1078,CANDLEPIN-1021,PQC: Update consumer operations to perform signature scheme validation and reconcilation,Closed,Story,Chris Rog,high
CANDLEPIN-1021,CANDLEPIN-1079,CANDLEPIN-1021,PQC: Update manifest export signature creation,Closed,Story,Josh Albrecht,high
CANDLEPIN-1021,CANDLEPIN-1080,CANDLEPIN-1021,PQC: Update manifest import signature validation logic,Closed,Story,Josh Albrecht,high
CANDLEPIN-1021,CANDLEPIN-1081,CANDLEPIN-1021,PQC: Design: Update PQC design to account for changes to scheme negotiation and selection,Closed,Spike,Chris Rog,high
CANDLEPIN-1021,CANDLEPIN-1128,CANDLEPIN-1021,Add ML-DSA cert chain config for dev setup ,Closed,Story,Josh Albrecht,high
CANDLEPIN-1021,CANDLEPIN-1130,CANDLEPIN-1021,Refactor the PrivateKeyReader interface and implementations,Closed,Spike,Chris Rog,high
CANDLEPIN-1021,CANDLEPIN-1133,CANDLEPIN-1021,Verify tomcat 9.0.110+ works with dual certs (MLDSA+RSA),Closed,Spike,Nikolaos Moumoulidis,high
CANDLEPIN-1021,CANDLEPIN-1134,CANDLEPIN-1021,Refactor KeyPairGenerator to be scheme aware and generic,Closed,Story,Chris Rog,high
CANDLEPIN-1021,CANDLEPIN-1135,CANDLEPIN-1021,Update token-based auth to be scheme aware or scheme-agnostic,Closed,Story,Josh Albrecht,high
CANDLEPIN-1021,CANDLEPIN-1141,CANDLEPIN-1021,Address cert desync when consumer keys are regenerated,Closed,Story,,high
CANDLEPIN-1021,CANDLEPIN-1150,CANDLEPIN-1021,Rebase PQC branch & merge to main,Closed,Task,Chris Rog,high
