row_id,jira_key,component,status,pqc_kex_test,mldsa_cert_test,code_change_required,feature_epic,satperf_probe,notes
M-38971,SAT-38971,Activation Keys,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-38972,SAT-38972,Fact,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-38973,SAT-38973,Host Group,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-38974,SAT-38974,Insights - Advisor,New,pending,pending,TBD,SAT-43401,,Verification row; see sat-38970-restructure-proposal.md
M-38975,SAT-38975,RH Cloud,New,pending,pending,TBD,SAT-43401,,Verification row; see sat-38970-restructure-proposal.md
M-38976,SAT-38976,Subscription Management,New,pending,pending,TBD,SAT-43394,,Verification row; see sat-38970-restructure-proposal.md
M-38977,SAT-38977,Candlepin,New,pending,pending,TBD,SAT-38910,,Verification row; see sat-38970-restructure-proposal.md
M-38978,SAT-38978,Host Collections,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-38979,SAT-38979,Hosts,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-38980,SAT-38980,Insights - Vulnerability,New,pending,pending,TBD,SAT-43401,,Verification row; see sat-38970-restructure-proposal.md
M-38981,SAT-38981,Registration,New,pending,pending,TBD,SAT-43394,,Verification row; see sat-38970-restructure-proposal.md
M-38982,SAT-38982,Virt-who Configure Plugin,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-38983,SAT-38983,Alternate Content Sources,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-38984,SAT-38984,Container Image Management,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-38985,SAT-38985,Content Views,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-38986,SAT-38986,Image Mode,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-38987,SAT-38987,Lifecycle Environments,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-38988,SAT-38988,Repositories,New,pending,pending,TBD,SAT-36256,,Verification row; see sat-38970-restructure-proposal.md
M-38989,SAT-38989,Capsule - Content,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-38990,SAT-38990,Content Credentials,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-38991,SAT-38991,Errata Management,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-38992,SAT-38992,Inter Satellite Sync,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-38993,SAT-38993,Pulp,New,pending,pending,TBD,SAT-36256,,Verification row; see sat-38970-restructure-proposal.md
M-38994,SAT-38994,Sync Plans,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-38995,SAT-38995,API,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-38996,SAT-38996,Ansible - Remote Execution,New,pending,pending,TBD,SAT-43331,,Verification row; see sat-38970-restructure-proposal.md
M-38997,SAT-38997,Authentication,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-38998,SAT-38998,Dashboard,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-38999,SAT-38999,HTTP Proxy,New,pending,pending,TBD,SAT-43394,,Verification row; see sat-38970-restructure-proposal.md
M-39000,SAT-39000,Leapp integration,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39001,SAT-39001,Logging,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39002,SAT-39002,Notifications,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
